City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Santander Jimenez,24.2167,-98.4667,80.51,67,76,12.1,MX,2022-09-26 22:52:53
1,Punta Arenas,-53.15,-70.9167,44.71,57,0,17.27,CL,2022-09-26 22:50:14
2,Liku,-0.7275,119.8922,75.94,86,97,3.04,ID,2022-09-26 22:52:54
3,Hay River,60.8156,-115.7999,64.36,34,75,13.8,CA,2022-09-26 22:52:54
4,Kahului,20.8947,-156.47,89.62,55,20,23.02,US,2022-09-26 22:49:39
5,Rikitea,-23.1203,-134.9692,68.14,57,28,5.41,PF,2022-09-26 22:52:54
6,Puerto Ayora,-0.7393,-90.3518,73.36,91,97,5.99,EC,2022-09-26 22:52:55
7,Goderich,43.7501,-81.7165,57.9,82,100,17.27,CA,2022-09-26 22:49:02
8,Jamestown,42.097,-79.2353,52.02,76,100,12.66,US,2022-09-26 22:52:55
9,Mataura,-46.1927,168.8643,49.48,84,100,1.74,NZ,2022-09-26 22:52:55
10,Barrow,71.2906,-156.7887,30.22,80,100,14.97,US,2022-09-26 22:52:56
11,Avera,33.194,-82.5271,81.91,34,20,9.48,US,2022-09-26 22:52:56
12,Hobart,-42.8794,147.3294,56.26,88,75,3.44,AU,2022-09-26 22:52:56
13,Puerto Carreno,6.189,-67.4859,85.98,70,75,4.61,CO,2022-09-26 22:52:57
14,Fairbanks,64.8378,-147.7164,50.22,67,100,5.75,US,2022-09-26 22:52:57
15,Vila Franca Do Campo,37.7167,-25.4333,68.2,77,100,9.66,PT,2022-09-26 22:52:57
16,Thompson,55.7435,-97.8558,48.36,40,20,4.61,CA,2022-09-26 22:50:47
17,Coquimbo,-29.9533,-71.3436,56.93,82,0,12.66,CL,2022-09-26 22:51:20
18,Provideniya,64.3833,-173.3,42.91,87,100,11.18,RU,2022-09-26 22:52:58
19,Butaritari,3.0707,172.7902,82.44,71,23,18.63,KI,2022-09-26 22:52:58
20,Ushuaia,-54.8,-68.3,40.66,75,40,25.32,AR,2022-09-26 22:49:34
21,Hermanus,-34.4187,19.2345,56.41,84,58,3.62,ZA,2022-09-26 22:52:59
22,Auki,-8.7676,160.7034,83.89,68,34,1.61,SB,2022-09-26 22:52:59
23,Jumla,29.2747,82.1838,52.36,87,0,4.32,NP,2022-09-26 22:52:59
24,Vaini,-21.2,-175.2,78.96,83,75,5.75,TO,2022-09-26 22:52:59
25,Saint-Philippe,-21.3585,55.7679,65.79,77,43,12.35,RE,2022-09-26 22:53:00
26,Lagoa,39.05,-27.9833,69.73,70,100,16.73,PT,2022-09-26 22:53:00
27,Yulara,-25.2406,130.9889,59.09,46,67,23.26,AU,2022-09-26 22:53:00
28,The Valley,18.217,-63.0578,84.34,74,20,13.8,AI,2022-09-26 22:53:01
29,Tuktoyaktuk,69.4541,-133.0374,35.6,69,75,14.97,CA,2022-09-26 22:53:01
30,Pisco,-13.7,-76.2167,63.01,72,75,9.22,PE,2022-09-26 22:53:01
31,Mehamn,71.0357,27.8492,44.55,87,100,8.05,NO,2022-09-26 22:53:02
32,Cayenne,4.9333,-52.3333,82.44,78,0,8.05,GF,2022-09-26 22:53:02
33,Cap-Aux-Meules,47.3821,-61.8597,62.65,100,40,21.85,CA,2022-09-26 22:49:11
34,Yellowknife,62.456,-114.3525,48.72,71,75,10.36,CA,2022-09-26 22:49:10
35,Puerto Ayacucho,5.6639,-67.6236,82.44,74,57,3.44,VE,2022-09-26 22:53:03
36,Carnarvon,-24.8667,113.6333,64.74,33,1,15.32,AU,2022-09-26 22:53:03
37,Busselton,-33.65,115.3333,50.81,87,2,5.84,AU,2022-09-26 22:53:03
38,Avarua,-21.2078,-159.775,78.85,83,75,12.66,CK,2022-09-26 22:49:30
39,Bluff,-46.6,168.3333,49.8,91,100,3.62,NZ,2022-09-26 22:53:04
40,Dikson,73.5069,80.5464,33.01,73,92,12.97,RU,2022-09-26 22:53:04
41,Saskylakh,71.9167,114.0833,27.16,92,90,11.34,RU,2022-09-26 22:53:04
42,Cherskiy,68.75,161.3,32.11,55,16,4.05,RU,2022-09-26 22:53:05
43,Caluquembe,-13.7833,14.6833,62.6,58,73,4.7,AO,2022-09-26 22:50:16
44,Qaanaaq,77.484,-69.3632,25.77,77,83,6.42,GL,2022-09-26 22:54:05
45,Kapaa,22.0752,-159.319,84.18,66,13,5.01,US,2022-09-26 22:54:06
46,Vrangel,42.7297,133.0839,61.77,73,0,5.93,RU,2022-09-26 22:54:06
47,Vestmannaeyjar,63.4427,-20.2734,43.11,52,60,16.58,IS,2022-09-26 22:54:06
48,Albany,42.6001,-73.9662,59.92,84,39,4.43,US,2022-09-26 22:51:16
49,Samarai,-10.6167,150.6667,82.56,74,25,8.48,PG,2022-09-26 22:54:07
50,Pemba,-12.974,40.5178,74.1,83,40,8.05,MZ,2022-09-26 22:54:07
51,Hemnesberget,66.2333,13.6333,52.52,74,98,14.12,NO,2022-09-26 22:54:07
52,Pevek,69.7008,170.3133,30.33,72,47,2.46,RU,2022-09-26 22:54:08
53,Port Alfred,-33.5906,26.891,62.19,93,100,5.99,ZA,2022-09-26 22:54:08
54,Khatanga,71.9667,102.5,23.74,98,93,8.7,RU,2022-09-26 22:54:08
55,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,87,100,4.47,RU,2022-09-26 22:54:09
56,Poum,-20.2333,164.0167,77.07,69,2,6.91,NC,2022-09-26 22:54:09
57,Araruama,-22.8728,-42.3431,69.85,84,94,13.51,BR,2022-09-26 22:54:09
58,Shimoda,34.6667,138.95,70.11,77,10,10.8,JP,2022-09-26 22:54:10
59,Ponta Do Sol,32.6667,-17.1,70.43,75,22,8.46,PT,2022-09-26 22:54:10
60,Teguldet,57.3064,88.1667,26.98,96,96,3.47,RU,2022-09-26 22:54:11
61,Zmeinogorsk,51.1567,82.195,54.7,71,84,8.93,RU,2022-09-26 22:54:11
62,Moba,33.2288,105.0179,51.12,90,100,3.36,CN,2022-09-26 22:54:11
63,Katsuura,35.1333,140.3,74.14,73,1,11.9,JP,2022-09-26 22:51:36
64,Porto Novo,6.4965,2.6036,73.22,89,100,1.72,BJ,2022-09-26 22:54:12
65,Srednekolymsk,67.45,153.6833,34.43,59,70,9.64,RU,2022-09-26 22:54:12
66,Sal Rei,16.1833,-22.9167,79.27,71,68,10.16,CV,2022-09-26 22:54:12
67,Hilo,19.7297,-155.09,87.28,65,27,8.01,US,2022-09-26 22:54:13
68,Lebu,-37.6167,-73.65,52.21,93,100,3.53,CL,2022-09-26 22:54:13
69,Aktau,43.65,51.2,52.38,62,13,11.39,KZ,2022-09-26 22:54:13
70,Faanui,-16.4833,-151.75,78.44,72,5,14.94,PF,2022-09-26 22:54:14
71,Los Llanos De Aridane,28.6585,-17.9182,67.12,84,100,15.01,ES,2022-09-26 22:54:14
72,Gazanjyk,39.2446,55.5154,64.83,28,0,12.3,TM,2022-09-26 22:54:14
73,Visnes,59.3556,5.2242,50.05,66,100,10.36,NO,2022-09-26 22:54:15
74,Esperance,-33.8667,121.9,51.98,82,0,8.05,AU,2022-09-26 22:54:15
75,Fortuna,40.5982,-124.1573,61.99,83,18,6.6,US,2022-09-26 22:52:46
76,Tutoia,-2.7619,-42.2744,79.63,81,4,13.04,BR,2022-09-26 22:54:15
77,Bloomfield,40.8068,-74.1854,73.9,52,75,12.66,US,2022-09-26 22:49:27
78,Toora-Khem,52.4675,96.11,41.16,95,100,2.95,RU,2022-09-26 22:54:16
79,Kodiak,57.79,-152.4072,49.3,69,30,3.38,US,2022-09-26 22:54:17
80,Novoagansk,61.9449,76.6625,25.95,80,14,6.98,RU,2022-09-26 22:54:17
81,Bredasdorp,-34.5322,20.0403,52.74,91,56,4.72,ZA,2022-09-26 22:54:17
82,Harper,4.375,-7.7169,76.15,87,97,7.96,LR,2022-09-26 22:54:18
83,Bengkulu,-3.8004,102.2655,74.77,90,75,5.23,ID,2022-09-26 22:54:18
84,Linxia,35.6003,103.2064,55.56,55,100,2.55,CN,2022-09-26 22:54:18
85,Puksoozero,62.5903,40.6066,40.93,89,100,5.41,RU,2022-09-26 22:54:19
86,Buenos Aires,-34.6132,-58.3772,69.98,73,0,3.44,AR,2022-09-26 22:50:07
87,Guymon,36.6828,-101.4816,85.86,22,0,13.11,US,2022-09-26 22:54:19
88,Cape Town,-33.9258,18.4232,56.12,80,0,2.3,ZA,2022-09-26 22:51:33
89,San Patricio,28.017,-97.5169,94.17,35,8,10.85,US,2022-09-26 22:55:20
90,Sao Joao Da Barra,-21.6403,-41.0511,73.49,84,51,16.37,BR,2022-09-26 22:55:20
91,Maiduguri,11.8464,13.1603,78.33,75,66,9.26,NG,2022-09-26 22:55:20
92,Darhan,49.4867,105.9228,49.86,46,36,3.33,MN,2022-09-26 22:55:21
93,Magadan,59.5667,150.8,41.76,61,92,10.8,RU,2022-09-26 22:55:21
94,San Cristobal,7.7669,-72.225,78.98,86,70,3.89,VE,2022-09-26 22:55:22
95,Havelock,34.8791,-76.9013,80.55,81,40,10.36,US,2022-09-26 22:55:22
96,Atuona,-9.8,-139.0333,75.94,81,26,20.36,PF,2022-09-26 22:52:06
97,Alofi,-19.0595,-169.9187,73.29,100,100,5.75,NU,2022-09-26 22:55:22
98,Tiksi,71.6872,128.8694,32.72,91,100,22.44,RU,2022-09-26 22:55:23
99,Tulu Bolo,8.6667,38.2167,53.2,90,33,2.26,ET,2022-09-26 22:55:23
100,Honningsvag,70.9821,25.9704,46.15,81,49,13.8,NO,2022-09-26 22:55:24
101,Berlevag,70.8578,29.0864,44.6,81,20,5.75,NO,2022-09-26 22:55:24
102,Salalah,17.0151,54.0924,78.17,84,90,7.16,OM,2022-09-26 22:55:24
103,Chokurdakh,70.6333,147.9167,27.1,84,82,13.11,RU,2022-09-26 22:55:25
104,Olafsvik,64.8945,-23.7142,44.33,47,92,9.86,IS,2022-09-26 22:55:25
105,New Norfolk,-42.7826,147.0587,55.92,83,100,0.94,AU,2022-09-26 22:55:25
106,Pacific Grove,36.6177,-121.9166,75.38,83,20,5.99,US,2022-09-26 22:55:26
107,El Tarra,8.5756,-73.0949,78.08,91,77,1.14,CO,2022-09-26 22:55:26
108,Kaitangata,-46.2817,169.8464,59.9,66,100,1.43,NZ,2022-09-26 22:55:26
109,Astara,38.5,48.6667,52.5,80,1,2.46,AZ,2022-09-26 22:55:26
110,Nikolskoye,59.7035,30.7861,46.29,93,100,2.84,RU,2022-09-26 22:55:27
111,Caohai,26.8661,104.2841,56.3,98,100,3.22,CN,2022-09-26 22:55:27
112,Christchurch,-43.5333,172.6333,67.41,60,100,4.61,NZ,2022-09-26 22:55:27
113,Svecha,58.2785,47.5164,40.19,95,100,9.46,RU,2022-09-26 22:55:28
114,Aguimes,27.9054,-15.4461,68.67,94,75,10.36,ES,2022-09-26 22:55:28
115,Matagami,49.7502,-77.6328,55.51,88,75,3.44,CA,2022-09-26 22:55:28
116,Yar-Sale,66.8333,70.8333,27.91,90,65,12.48,RU,2022-09-26 22:55:29
117,Lavrentiya,65.5833,-171.0,37.85,98,100,11.74,RU,2022-09-26 22:55:29
118,Codo,-4.4553,-43.8856,82.54,46,29,3.6,BR,2022-09-26 22:52:48
119,Ribeira Grande,38.5167,-28.7,71.15,69,100,12.33,PT,2022-09-26 22:55:30
120,Micheweni,-4.9667,39.8333,74.61,84,75,10.09,TZ,2022-09-26 22:55:30
121,Leningradskiy,69.3833,178.4167,31.24,88,100,7.36,RU,2022-09-26 22:55:30
122,Codrington,-38.2667,141.9667,53.42,93,100,17.05,AU,2022-09-26 22:55:30
123,Dunedin,-45.8742,170.5036,57.79,76,100,2.37,NZ,2022-09-26 22:55:31
124,Wukari,7.85,9.7833,73.51,92,86,3.06,NG,2022-09-26 22:55:31
125,Khandyga,62.6667,135.6,38.32,92,100,2.26,RU,2022-09-26 22:55:31
126,Pangnirtung,66.1451,-65.7125,33.8,69,20,0.0,CA,2022-09-26 22:55:32
127,San Quintin,30.4833,-115.95,76.71,70,1,16.75,MX,2022-09-26 22:55:32
128,Bambous Virieux,-20.3428,57.7575,71.85,64,40,11.5,MU,2022-09-26 22:55:32
129,Cidreira,-30.1811,-50.2056,64.2,83,76,7.25,BR,2022-09-26 22:55:33
130,Adrar,20.5022,-10.0711,95.27,23,90,7.9,MR,2022-09-26 22:55:33
131,Upata,8.0086,-62.3989,77.2,91,80,3.36,VE,2022-09-26 22:55:33
132,Udachnyy,66.4167,112.4,15.1,97,100,4.18,RU,2022-09-26 22:55:34
133,Balkhash,46.844,74.9804,56.95,46,28,13.22,KZ,2022-09-26 22:55:34
134,Solnechnyy,50.7214,136.6319,47.08,50,32,6.11,RU,2022-09-26 22:55:34
135,Coacoyul,17.8058,-99.11,74.14,78,97,2.55,MX,2022-09-26 22:55:35
136,Paamiut,61.994,-49.6678,43.34,93,100,32.1,GL,2022-09-26 22:56:35
137,Georgetown,5.4112,100.3354,80.89,87,20,5.99,MY,2022-09-26 22:56:14
138,Tuatapere,-46.1333,167.6833,54.61,93,100,3.04,NZ,2022-09-26 22:56:35
139,Mezen,65.8522,44.24,31.1,86,31,5.7,RU,2022-09-26 22:56:36
140,Ust-Maya,60.4167,134.5333,35.24,100,100,2.37,RU,2022-09-26 22:56:36
141,Sao Francisco,-15.9486,-44.8644,82.78,44,58,9.01,BR,2022-09-26 22:56:36
142,Kokorevka,52.5872,34.2778,47.8,95,99,5.01,RU,2022-09-26 22:56:37
143,Aklavik,68.2191,-135.0107,36.37,77,100,9.06,CA,2022-09-26 22:56:37
144,Satao,40.7418,-7.7329,52.92,72,2,1.05,PT,2022-09-26 22:56:38
145,Parrita,9.5201,-84.3225,78.39,86,97,4.16,CR,2022-09-26 22:56:39
146,Norsup,-16.0667,167.3833,82.72,73,14,12.44,VU,2022-09-26 22:56:39
147,Ancud,-41.8697,-73.8203,45.23,82,27,7.2,CL,2022-09-26 22:56:39
148,Ukhta,63.5671,53.6835,31.08,69,94,4.61,RU,2022-09-26 22:56:40
149,Kavaratti,10.5669,72.642,81.28,73,59,16.02,IN,2022-09-26 22:56:40
150,Grand-Bourg,15.8835,-61.3148,80.55,78,100,18.23,GP,2022-09-26 22:56:40
151,Mar Del Plata,-38.0023,-57.5575,57.22,94,75,4.61,AR,2022-09-26 22:53:16
152,Vardo,70.3705,31.1107,44.58,93,73,8.05,NO,2022-09-26 22:56:41
153,Caravelas,-17.7125,-39.2481,72.52,90,98,6.8,BR,2022-09-26 22:51:41
154,Narsaq,60.9167,-46.05,45.5,92,100,8.21,GL,2022-09-26 22:56:41
155,Opuwo,-18.0607,13.84,68.86,26,82,3.8,NA,2022-09-26 22:56:41
156,Padang,-0.9492,100.3543,76.89,89,99,2.95,ID,2022-09-26 22:56:42
157,Evensk,61.95,159.2333,38.93,63,22,2.3,RU,2022-09-26 22:56:42
158,Hambantota,6.1241,81.1185,78.44,83,35,14.99,LK,2022-09-26 22:56:42
159,Clyde River,70.4692,-68.5914,34.03,100,75,4.61,CA,2022-09-26 22:56:43
160,Sandnessjoen,66.0217,12.6316,53.65,69,100,3.0,NO,2022-09-26 22:56:43
161,Kimbe,-5.5502,150.1429,86.23,62,33,0.67,PG,2022-09-26 22:56:43
162,Arlit,18.7369,7.3853,96.76,14,26,10.4,NE,2022-09-26 22:56:43
163,Cabo San Lucas,22.8909,-109.9124,90.18,75,6,7.52,MX,2022-09-26 22:54:04
164,Ukiah,39.1502,-123.2078,94.44,33,1,3.0,US,2022-09-26 22:56:44
165,Tadine,-21.55,167.8833,77.94,71,18,5.03,NC,2022-09-26 22:56:44
166,Te Anau,-45.4167,167.7167,52.16,94,100,3.09,NZ,2022-09-26 22:56:45
167,Kon Tum,14.35,108.0,66.81,97,100,2.46,VN,2022-09-26 22:56:21
168,Sola,-13.8833,167.55,81.12,73,4,10.63,VU,2022-09-26 22:56:45
169,Luderitz,-26.6481,15.1594,54.05,84,0,4.61,NA,2022-09-26 22:56:46
170,Mahebourg,-20.4081,57.7,71.89,64,40,11.5,MU,2022-09-26 22:56:46
171,Letlhakane,-21.4167,25.5833,74.41,20,0,9.6,BW,2022-09-26 22:56:46
172,Airai,-8.9266,125.4092,67.66,52,32,0.78,TL,2022-09-26 22:56:47
173,Miles City,46.4083,-105.8406,78.28,24,36,13.49,US,2022-09-26 22:56:47
174,Lompoc,34.6391,-120.4579,87.01,74,40,12.66,US,2022-09-26 22:52:44
175,Tasiilaq,65.6145,-37.6368,35.53,89,100,4.5,GL,2022-09-26 22:56:47
176,Pafos,34.7667,32.4167,64.18,52,0,5.75,CY,2022-09-26 22:56:18
177,Ilulissat,69.2167,-51.1,36.27,100,100,4.65,GL,2022-09-26 22:56:48
178,Consuegra,39.4625,-3.608,61.38,37,3,9.62,ES,2022-09-26 22:56:48
179,Cabimas,10.3883,-71.4399,84.56,73,73,7.11,VE,2022-09-26 22:56:48
180,Hualmay,-11.0964,-77.6139,62.47,79,20,10.74,PE,2022-09-26 22:56:49
181,Hammerfest,70.6634,23.6821,46.85,76,20,5.75,NO,2022-09-26 22:56:49
182,Flin Flon,54.7682,-101.865,58.84,47,40,4.61,CA,2022-09-26 22:56:49
183,Vostok,46.4856,135.8833,48.81,68,23,3.31,RU,2022-09-26 22:57:50
184,Soma,39.1855,27.6094,59.68,44,98,3.04,TR,2022-09-26 22:57:50
185,Ascoli Piceno,42.8548,13.5749,64.26,90,71,1.99,IT,2022-09-26 22:57:50
186,Sao Filipe,14.8961,-24.4956,77.43,76,52,6.35,CV,2022-09-26 22:57:51
187,Tungawan,7.5081,122.3711,80.06,83,85,4.9,PH,2022-09-26 22:57:51
188,Port Elizabeth,-33.918,25.5701,62.1,97,100,17.27,ZA,2022-09-26 22:57:51
189,Novyy Urengoy,66.0833,76.6333,29.25,73,98,14.05,RU,2022-09-26 22:57:52
